epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.032,2.49259,7.31503,0.76968,3.27634,2.11745,0.8543,0.59411,0.69724,0.30362,0.23778,0.03084,0.03168,0.00336,2.34291,7.63849,0.72216,1.92558,1.80955,0.000654971,0.000654971,0.000654971
2,801.982,1.44078,4.53019,0.76924,1.15944,1.35241,0.84347,0.61674,0.74912,0.45401,0.86788,0.59912,0.68268,0.4383,1.56672,3.97427,0.64909,1.39947,1.46764,0.00129547,0.00129547,0.00129547
3,1244.2,1.33428,3.33779,0.60285,1.06812,1.28533,0.96262,0.71806,0.84859,0.61928,0.93816,0.68722,0.78739,0.61742,1.38921,2.09229,0.27938,1.27455,1.49422,0.00190957,0.00190957,0.00190957
4,1701.42,1.15927,2.38952,0.5368,0.97461,1.22842,0.91955,0.87665,0.94562,0.65907,0.89264,0.80617,0.85457,0.58063,1.14414,1.83843,0.1765,0.8276,1.28482,0.0018812,0.0018812,0.0018812
5,2096.21,1.13795,1.93307,0.50394,0.86927,1.19575,0.99062,0.76211,0.86898,0.60665,0.99062,0.76211,0.84274,0.72113,1.04617,1.38114,0.18823,1.07406,1.18899,0.0018416,0.0018416,0.0018416
6,2487.83,0.96184,1.68441,0.45735,0.75774,1.12335,0.90211,0.85259,0.92147,0.7116,0.98867,0.76908,0.80317,0.7344,0.9569,1.88361,0.14172,0.88835,1.18795,0.001802,0.001802,0.001802
7,2897.99,0.92915,1.46193,0.44843,0.72287,1.11899,0.95013,0.80176,0.92827,0.74742,0.95013,0.80176,0.89897,0.73767,0.83475,1.34488,0.15974,0.81477,1.21968,0.0017624,0.0017624,0.0017624
8,3301.1,0.84235,1.4321,0.42419,0.64933,1.06682,0.97309,0.92952,0.96579,0.78864,0.99915,0.77974,0.87834,0.77345,0.83407,1.20735,0.12921,0.79788,1.11496,0.0017228,0.0017228,0.0017228
9,3707.9,0.81685,1.30833,0.41725,0.62161,1.0617,0.94368,0.9207,0.97068,0.86259,0.93907,0.88987,0.96272,0.86257,0.64758,0.89851,0.15071,0.55697,1.07094,0.0016832,0.0016832,0.0016832
10,4121,0.78755,1.24909,0.38716,0.58686,1.04658,0.96086,0.97339,0.98985,0.79448,0.99037,0.90621,0.94773,0.84858,0.86055,0.90472,0.13935,0.69897,1.09453,0.0016436,0.0016436,0.0016436
11,4539.47,0.74576,1.03976,0.36328,0.56453,1.02666,0.92821,0.9683,0.96922,0.82096,0.90578,0.9317,0.95812,0.87364,0.66804,0.78022,0.13734,0.52948,1.06629,0.001604,0.001604,0.001604
12,4948.67,0.67719,0.96534,0.34571,0.52306,1.00229,0.98601,0.93125,0.9909,0.84981,0.98132,0.92569,0.98707,0.89478,0.57293,0.63633,0.11147,0.47852,1.01297,0.0015644,0.0015644,0.0015644
13,5350.22,0.7254,0.8636,0.33352,0.53368,1.01715,0.99631,0.99559,0.995,0.84342,0.99631,0.99559,0.995,0.94068,0.65734,0.52061,0.11577,0.43381,0.99827,0.0015248,0.0015248,0.0015248
14,5746.75,0.63862,0.80287,0.31747,0.4897,0.98637,0.96901,0.96427,0.9932,0.88883,0.96901,0.96427,0.9932,0.93628,0.56093,0.55747,0.10594,0.44606,0.99795,0.0014852,0.0014852,0.0014852
15,6134.38,0.61898,0.78155,0.30069,0.47991,0.98207,0.98231,0.98238,0.99478,0.89468,0.98231,0.98238,0.99478,0.93042,0.53658,0.44463,0.09998,0.38987,1.00295,0.0014456,0.0014456,0.0014456
16,6532.8,0.61269,0.69953,0.29528,0.48639,0.9734,0.99764,1,0.995,0.89106,0.99764,1,0.995,0.94229,0.51272,0.42694,0.10248,0.40067,0.97573,0.001406,0.001406,0.001406
17,6929.44,0.5752,0.63664,0.27899,0.45289,0.95948,0.99418,1,0.99465,0.89864,0.99418,1,0.99465,0.91917,0.47808,0.39478,0.09484,0.35076,0.95136,0.0013664,0.0013664,0.0013664
18,7327.67,0.59034,0.57871,0.27138,0.44003,0.95867,0.9977,1,0.995,0.90002,0.9977,1,0.995,0.94949,0.45998,0.31148,0.09736,0.35821,0.93852,0.0013268,0.0013268,0.0013268
19,7731.16,0.5724,0.52558,0.25938,0.43613,0.94251,0.96689,1,0.99376,0.91301,0.96689,1,0.99376,0.95955,0.44228,0.33981,0.09127,0.36514,0.95745,0.0012872,0.0012872,0.0012872
20,8124.42,0.53181,0.48878,0.24581,0.41379,0.93419,0.99856,0.99119,0.995,0.92297,0.99856,0.99119,0.995,0.96396,0.43204,0.24158,0.07839,0.32142,0.93573,0.0012476,0.0012476,0.0012476
21,8523.8,0.53198,0.53236,0.25405,0.42982,0.92965,0.99635,0.99559,0.995,0.91532,0.99635,0.99559,0.995,0.96334,0.45655,0.27049,0.0828,0.36577,0.93592,0.001208,0.001208,0.001208
22,8918.85,0.51963,0.52217,0.24906,0.4066,0.9328,0.97418,0.99716,0.99465,0.92897,0.97418,0.99716,0.99465,0.95763,0.38468,0.26828,0.07354,0.32624,0.91174,0.0011684,0.0011684,0.0011684
23,9310.75,0.49415,0.48969,0.23521,0.39079,0.92641,0.99544,0.96112,0.99304,0.91845,0.99544,0.96112,0.99304,0.96162,0.42933,0.29256,0.07907,0.32885,0.93583,0.0011288,0.0011288,0.0011288
24,9699.06,0.47184,0.46602,0.23435,0.38748,0.91629,0.99882,1,0.995,0.93202,0.99882,1,0.995,0.97465,0.40075,0.2147,0.08124,0.29018,0.91452,0.0010892,0.0010892,0.0010892
25,10087.6,0.52482,0.49899,0.24305,0.41637,0.93245,0.96107,0.99119,0.99258,0.93448,0.96107,0.99119,0.99258,0.97573,0.40107,0.21302,0.07862,0.33757,0.9109,0.0010496,0.0010496,0.0010496
26,10478.3,0.47175,0.41436,0.21655,0.37583,0.90004,0.9952,1,0.99487,0.93652,0.9952,1,0.99487,0.97792,0.3903,0.21164,0.07681,0.29635,0.90061,0.00101,0.00101,0.00101
