epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.29467,1.95908,6.02785,0.7793,2.32034,1.81278,0.70433,0.54762,0.6109,0.26436,0.92878,0.45238,0.45518,0.30949,2.06989,5.18989,0.71267,1.66377,1.94594,0.000545744,0.000545744,0.000545744
2,10.4302,0.85523,2.89561,0.70652,0.89777,1.02883,0.72078,0.87176,0.83159,0.5146,0.72629,0.82695,0.81185,0.50842,1.27739,2.07375,0.5393,1.08051,1.23305,0.00109051,0.00109051,0.00109051
3,14.5478,0.71211,2.00583,0.58601,0.70474,0.94703,0.88415,0.88095,0.89645,0.58796,0.90748,0.81971,0.84567,0.61828,1.18319,2.16006,0.38151,0.88183,1.13013,0.00162427,0.00162427,0.00162427
4,18.6626,0.64401,1.11617,0.55412,0.62392,0.91531,0.96448,0.90476,0.96606,0.58136,0.87936,0.86531,0.93275,0.65095,1.22572,1.22807,0.25967,0.84145,1.43474,0.00161749,0.00161749,0.00161749
5,22.798,0.60845,0.62329,0.50591,0.55812,0.90669,0.96313,0.88062,0.97501,0.65512,0.89335,0.94862,0.98116,0.72819,1.08692,0.96147,0.23216,0.67618,1.41189,0.00160099,0.00160099,0.00160099
6,26.9019,0.53979,0.45185,0.46128,0.50021,0.88458,0.90262,0.90476,0.94576,0.71413,0.92473,0.92857,0.93243,0.82075,0.93236,0.7878,0.24569,0.79843,1.13142,0.00158448,0.00158448,0.00158448
7,31.0307,0.5157,0.39171,0.41096,0.48669,0.88462,0.97485,0.95238,0.9546,0.65276,0.99399,0.97169,0.995,0.8127,1.06004,0.82066,0.2126,0.64631,1.17695,0.00156798,0.00156798,0.00156798
8,35.1448,0.48104,0.35196,0.35269,0.44962,0.87028,0.9856,0.89403,0.93953,0.65715,0.97985,0.90258,0.98444,0.77395,1.02714,0.99122,0.18832,0.78946,1.27415,0.00155148,0.00155148,0.00155148
9,39.256,0.46344,0.34122,0.32571,0.42968,0.86962,0.80098,0.87863,0.86726,0.57635,0.69467,0.83333,0.73525,0.67924,1.02636,1.4802,0.13564,0.80333,1.23449,0.00153497,0.00153497,0.00153497
10,43.3707,0.45658,0.30994,0.28451,0.42137,0.87146,0.96947,0.89099,0.9706,0.70982,0.91056,0.76664,0.86199,0.77402,0.92756,1.40131,0.14303,0.63551,1.36125,0.00151847,0.00151847,0.00151847
11,47.4621,0.44012,0.28581,0.2599,0.39721,0.86937,0.83564,0.90476,0.9162,0.68365,0.84019,0.90476,0.91895,0.77012,0.90227,1.24195,0.14334,0.71801,1.28693,0.00150197,0.00150197,0.00150197
12,51.5474,0.43077,0.25961,0.24057,0.38429,0.85997,0.9791,0.92857,0.9767,0.76585,0.97058,0.96982,0.99131,0.87284,0.79749,0.69593,0.12131,0.62215,1.10758,0.00148546,0.00148546,0.00148546
13,55.6506,0.46945,0.24667,0.2096,0.39609,0.85882,0.9816,0.95238,0.95394,0.75693,0.9816,0.95238,0.95394,0.87514,0.75365,0.65613,0.11733,0.52293,0.97854,0.00146896,0.00146896,0.00146896
14,59.7487,0.4155,0.23654,0.19356,0.36405,0.85056,0.75585,0.85714,0.85024,0.67052,0.73636,0.7619,0.79135,0.77121,0.96111,1.46689,0.08444,0.82701,1.27983,0.00145246,0.00145246,0.00145246
15,63.8765,0.40244,0.22439,0.17227,0.35666,0.8538,0.85243,0.88095,0.89626,0.63363,0.87339,0.90476,0.92775,0.75061,0.96737,1.01219,0.09097,0.63437,1.17437,0.00143595,0.00143595,0.00143595
16,67.9641,0.39145,0.20774,0.16455,0.35147,0.8518,0.89422,0.88107,0.9325,0.67272,0.80238,0.7619,0.79708,0.7542,0.92914,1.21264,0.06624,0.62334,1.26877,0.00141945,0.00141945,0.00141945
17,72.0829,0.37732,0.19422,0.14768,0.3531,0.84836,0.94375,0.88095,0.92333,0.67682,0.76962,0.78516,0.76133,0.72676,0.83323,1.41256,0.06348,0.58258,1.22636,0.00140295,0.00140295,0.00140295
18,76.1991,0.37145,0.19672,0.14345,0.35031,0.84977,0.94564,0.88095,0.93271,0.69297,0.89183,0.83333,0.89727,0.77618,0.7984,1.04673,0.12069,0.66724,1.11481,0.00138644,0.00138644,0.00138644
19,80.3518,0.35874,0.17536,0.13035,0.33721,0.8492,0.98433,0.95238,0.97077,0.76476,0.91669,0.88095,0.91512,0.77207,0.82103,1.03064,0.09814,0.60678,1.08691,0.00136994,0.00136994,0.00136994
20,84.4624,0.35888,0.17997,0.12462,0.33203,0.84099,1,0.90348,0.95117,0.80824,0.97387,0.87967,0.93163,0.86125,0.66804,0.82301,0.08877,0.59354,1.00139,0.00135344,0.00135344,0.00135344
21,88.5972,0.36217,0.17356,0.12087,0.32619,0.83913,0.86768,0.7619,0.84909,0.6896,0.88183,0.66667,0.77269,0.7409,0.9098,1.64836,0.1452,0.63846,1.35164,0.00133693,0.00133693,0.00133693
22,92.7179,0.33735,0.19111,0.11944,0.31852,0.8416,0.8894,0.80564,0.85299,0.67059,0.79342,0.80007,0.82899,0.74705,0.94076,1.47352,0.11601,0.68015,1.24261,0.00132043,0.00132043,0.00132043
23,96.8137,0.3418,0.18406,0.11069,0.31247,0.84266,0.913,0.8657,0.93674,0.75592,0.88304,0.91718,0.9671,0.78807,0.63391,0.80636,0.05835,0.67843,0.99084,0.00130393,0.00130393,0.00130393
24,100.92,0.3198,0.15559,0.11263,0.30663,0.83641,0.95953,0.92857,0.95456,0.73029,0.86194,0.83333,0.8872,0.77712,0.81996,1.04973,0.04942,0.66964,1.17123,0.00128742,0.00128742,0.00128742
25,105.034,0.33361,0.15632,0.10151,0.3069,0.83928,0.91552,0.83333,0.90275,0.68244,0.80449,0.66667,0.75974,0.72853,0.86862,1.64415,0.05157,0.64842,1.26958,0.00127092,0.00127092,0.00127092
26,109.141,0.32629,0.13549,0.09729,0.30261,0.83439,0.9424,0.85932,0.94393,0.72132,0.80746,0.86858,0.8896,0.78668,0.74099,1.07595,0.08746,0.65557,1.08712,0.00125442,0.00125442,0.00125442
27,113.262,0.32035,0.13627,0.09202,0.29275,0.83428,0.94508,0.64286,0.73663,0.64567,0.74092,0.7381,0.75359,0.70674,0.88636,1.64766,0.11828,0.62258,1.23646,0.00123791,0.00123791,0.00123791
28,117.371,0.33481,0.13752,0.0878,0.29932,0.8372,0.96599,0.79802,0.91549,0.70771,0.86944,0.88095,0.96398,0.77135,0.78602,1.09515,0.08547,0.69354,1.07246,0.00122141,0.00122141,0.00122141
29,121.469,0.29493,0.12451,0.08187,0.27979,0.83196,0.89784,0.85714,0.87361,0.7128,0.78565,0.75959,0.79583,0.76204,0.83256,1.37834,0.07705,0.57734,1.1561,0.00120491,0.00120491,0.00120491
30,125.571,0.30652,0.12662,0.08919,0.28245,0.8326,0.95422,0.92626,0.94453,0.75857,0.92909,0.90245,0.93928,0.80561,0.7565,0.9301,0.09315,0.56903,1.10806,0.0011884,0.0011884,0.0011884
31,129.657,0.29194,0.11732,0.07758,0.2791,0.82977,0.96611,0.90476,0.92834,0.74953,0.87975,0.77291,0.81667,0.76131,0.78484,1.33174,0.09164,0.55456,1.21402,0.0011719,0.0011719,0.0011719
32,133.746,0.28357,0.11778,0.08106,0.27233,0.83026,0.95689,0.92649,0.93982,0.75366,0.84942,0.8309,0.86727,0.79368,0.76198,1.18539,0.04236,0.50657,1.09494,0.0011554,0.0011554,0.0011554
33,137.859,0.32005,0.133,0.07055,0.28523,0.83143,0.96956,0.80952,0.90395,0.72065,0.8267,0.74479,0.82967,0.75685,0.75848,1.17473,0.04218,0.58179,1.09457,0.00113889,0.00113889,0.00113889
34,141.96,0.29509,0.11948,0.07244,0.27219,0.82979,0.87156,0.87848,0.90272,0.77177,0.83872,0.84426,0.90266,0.83815,0.6887,0.96823,0.06521,0.61223,0.98778,0.00112239,0.00112239,0.00112239
35,146.094,0.27506,0.11241,0.07145,0.26222,0.82788,0.90386,0.87765,0.91759,0.76688,0.8254,0.87381,0.91174,0.83045,0.71231,1.02693,0.0899,0.52151,1.05247,0.00110589,0.00110589,0.00110589
36,150.231,0.27342,0.1139,0.07206,0.26226,0.82411,0.87336,0.65892,0.78321,0.70141,0.87336,0.65892,0.79818,0.74907,0.81512,1.80136,0.10827,0.6476,1.26779,0.00108938,0.00108938,0.00108938
37,154.346,0.27199,0.11209,0.06686,0.26374,0.82912,0.97614,0.7381,0.80485,0.73279,0.97614,0.7381,0.82928,0.80271,0.73972,1.54146,0.11052,0.5174,1.1797,0.00107288,0.00107288,0.00107288
38,158.465,0.27007,0.11109,0.06305,0.25713,0.82439,0.91527,0.85714,0.86707,0.75034,0.90082,0.71429,0.81353,0.78138,0.70358,1.60639,0.05859,0.51238,1.1791,0.00105638,0.00105638,0.00105638
39,162.597,0.28341,0.11297,0.06467,0.26347,0.82933,0.99438,0.92738,0.96652,0.75668,0.82019,0.7619,0.82,0.77656,0.73937,1.16273,0.05659,0.57063,1.1095,0.00103987,0.00103987,0.00103987
40,166.803,0.26459,0.09792,0.06342,0.24902,0.82666,0.98617,0.88095,0.94355,0.74404,0.87481,0.78571,0.86575,0.78073,0.78844,1.112,0.05803,0.5468,1.10321,0.00102337,0.00102337,0.00102337
41,170.968,0.27042,0.09457,0.06324,0.25485,0.82923,0.86486,0.85714,0.91966,0.74984,0.97499,0.73193,0.87363,0.7986,0.68725,1.05253,0.06905,0.50772,1.04284,0.00100687,0.00100687,0.00100687
42,175.144,0.2591,0.09984,0.05675,0.24829,0.82199,0.97439,0.69953,0.79108,0.71359,0.97445,0.70109,0.78958,0.77182,0.82169,1.52128,0.13203,0.51564,1.22473,0.000990365,0.000990365,0.000990365
43,179.337,0.26749,0.10315,0.0578,0.24665,0.8234,0.98054,0.90476,0.93864,0.7542,0.90189,0.83333,0.87037,0.80559,0.72835,0.93399,0.04504,0.49613,1.0415,0.000973861,0.000973861,0.000973861
44,183.526,0.25186,0.0883,0.05178,0.24122,0.82085,0.96787,0.88095,0.92767,0.71935,0.97126,0.66667,0.83203,0.75008,0.79794,1.33142,0.07907,0.73684,1.17321,0.000957358,0.000957358,0.000957358
45,187.665,0.25983,0.09089,0.05726,0.24262,0.82197,0.94333,0.92857,0.96572,0.75956,0.75136,0.7381,0.81447,0.77538,0.71842,1.14864,0.03456,0.60578,1.10049,0.000940855,0.000940855,0.000940855
46,191.836,0.26052,0.09103,0.05551,0.2482,0.81806,0.75488,0.76081,0.79609,0.7082,0.95851,0.66059,0.76765,0.75682,0.8041,1.69038,0.06998,0.52936,1.29468,0.000924352,0.000924352,0.000924352
47,195.986,0.24713,0.07722,0.05186,0.2329,0.81722,0.85183,0.78169,0.83155,0.73489,0.95288,0.66667,0.79122,0.77088,0.77972,1.36687,0.04774,0.55269,1.17377,0.000907848,0.000907848,0.000907848
48,200.12,0.2407,0.08021,0.04827,0.22957,0.82112,0.96195,0.8539,0.90706,0.74405,0.77663,0.69843,0.76728,0.74891,0.75368,1.37243,0.07191,0.70193,1.15041,0.000891345,0.000891345,0.000891345
49,204.256,0.25431,0.08921,0.05171,0.23458,0.82022,0.93523,0.85714,0.91471,0.72021,0.97064,0.63613,0.75794,0.75167,0.7282,1.13635,0.0427,0.59479,1.12308,0.000874842,0.000874842,0.000874842
50,208.428,0.24268,0.08084,0.05338,0.23336,0.82142,0.77916,0.7381,0.78206,0.70178,0.7529,0.71429,0.75351,0.74403,0.73335,1.26915,0.0468,0.60702,1.26098,0.000858338,0.000858338,0.000858338
51,212.555,0.24734,0.07845,0.04558,0.23241,0.81943,0.89652,0.88095,0.91204,0.72313,0.82443,0.80952,0.84834,0.7652,0.73344,1.13416,0.04784,0.636,1.16236,0.000841835,0.000841835,0.000841835
52,216.706,0.2491,0.08496,0.04366,0.23985,0.82084,0.88793,0.90023,0.90667,0.72429,0.72653,0.7381,0.76142,0.74929,0.72224,1.33038,0.03693,0.65098,1.19367,0.000825332,0.000825332,0.000825332
53,220.874,0.25015,0.08045,0.04728,0.23493,0.82125,0.88691,0.85399,0.89263,0.72202,0.76717,0.73686,0.7862,0.77734,0.7503,1.25661,0.07214,0.56303,1.15286,0.000808828,0.000808828,0.000808828
54,225.065,0.24706,0.07599,0.05058,0.23679,0.82215,0.95399,0.88095,0.95819,0.76084,0.955,0.80952,0.92464,0.77428,0.63993,0.93203,0.07832,0.55413,1.04951,0.000792325,0.000792325,0.000792325
55,229.223,0.24415,0.0728,0.04526,0.23309,0.81553,0.83789,0.87769,0.86369,0.70964,0.82966,0.71429,0.79853,0.77289,0.78256,1.3512,0.06234,0.47838,1.18071,0.000775822,0.000775822,0.000775822
56,233.356,0.2314,0.07273,0.04574,0.22455,0.82028,0.94726,0.66667,0.77752,0.68993,0.94726,0.66667,0.7482,0.74355,0.76155,1.44859,0.09748,0.61703,1.21163,0.000759318,0.000759318,0.000759318
57,237.505,0.22606,0.06528,0.04328,0.21853,0.81897,0.82529,0.78571,0.81098,0.72786,0.77405,0.7381,0.77335,0.76702,0.72051,1.39874,0.04,0.56071,1.19156,0.000742815,0.000742815,0.000742815
58,241.66,0.22142,0.07035,0.04147,0.21494,0.81501,0.94064,0.89752,0.93171,0.77968,0.79385,0.75436,0.82355,0.80392,0.67159,1.15655,0.04559,0.50124,1.08458,0.000726312,0.000726312,0.000726312
59,245.825,0.21314,0.0586,0.04001,0.20716,0.81453,0.8859,0.80952,0.89297,0.75403,0.90467,0.68064,0.8356,0.80269,0.69032,1.24441,0.05388,0.52208,1.08114,0.000709809,0.000709809,0.000709809
60,249.96,0.22791,0.06227,0.04125,0.22542,0.81695,0.8961,0.77619,0.85137,0.72376,0.8823,0.72136,0.80141,0.74997,0.65637,1.16989,0.15112,0.6156,1.04571,0.000693305,0.000693305,0.000693305
61,254.113,0.21995,0.06551,0.03993,0.2114,0.81516,0.97185,0.85026,0.93283,0.76309,0.73299,0.82613,0.82517,0.78625,0.65586,1.19869,0.04933,0.5396,1.0601,0.000676802,0.000676802,0.000676802
62,258.276,0.21478,0.05655,0.04181,0.21071,0.81214,0.89521,0.66667,0.80615,0.74045,0.75232,0.79782,0.82547,0.78866,0.70096,1.39762,0.07892,0.552,1.13917,0.000660299,0.000660299,0.000660299
63,262.427,0.21653,0.05588,0.03846,0.21258,0.81588,0.97741,0.66667,0.75535,0.69875,0.97741,0.66667,0.77048,0.7466,0.75284,1.69025,0.07482,0.56246,1.22281,0.000643795,0.000643795,0.000643795
64,266.565,0.21657,0.05634,0.04053,0.20897,0.81534,0.8869,0.84039,0.88132,0.74728,0.90466,0.67919,0.79539,0.79342,0.7071,1.50422,0.04114,0.46777,1.16536,0.000627292,0.000627292,0.000627292
65,270.709,0.21223,0.05616,0.03882,0.20707,0.81768,1,0.67953,0.80414,0.73315,1,0.67953,0.78742,0.7835,0.73045,1.462,0.07346,0.4955,1.17458,0.000610789,0.000610789,0.000610789
66,274.852,0.21203,0.05837,0.03639,0.2097,0.81318,0.86304,0.7619,0.84464,0.75461,0.99936,0.68967,0.81979,0.79565,0.69357,1.26835,0.04461,0.48417,1.09943,0.000594286,0.000594286,0.000594286
67,278.964,0.21045,0.05748,0.03984,0.20566,0.81141,0.97492,0.66136,0.80673,0.73201,0.97492,0.66136,0.77649,0.77048,0.69395,1.54646,0.05589,0.53025,1.17283,0.000577782,0.000577782,0.000577782
68,283.113,0.21226,0.05423,0.03508,0.20577,0.81439,0.79796,0.83333,0.84952,0.73819,0.90275,0.65221,0.78919,0.75526,0.69457,1.41924,0.04904,0.4813,1.13841,0.000561279,0.000561279,0.000561279
69,287.238,0.20858,0.05279,0.0332,0.20038,0.81667,0.89103,0.90476,0.92186,0.76718,0.8389,0.80952,0.84206,0.78458,0.67821,1.20714,0.03686,0.50143,1.06713,0.000544776,0.000544776,0.000544776
70,291.379,0.20784,0.05193,0.03389,0.20253,0.81285,0.85414,0.7619,0.83422,0.75929,0.92046,0.7049,0.83022,0.78585,0.69469,1.32254,0.05006,0.46066,1.1138,0.000528272,0.000528272,0.000528272
71,295.524,0.19991,0.05445,0.03526,0.19634,0.81173,0.86659,0.76019,0.84717,0.72385,0.81637,0.73021,0.80729,0.75887,0.65889,1.35456,0.07635,0.52485,1.08998,0.000511769,0.000511769,0.000511769
72,299.648,0.21093,0.06058,0.03319,0.20357,0.81539,0.84076,0.80952,0.84582,0.72678,0.76302,0.7381,0.76819,0.73563,0.71461,1.32326,0.08898,0.66463,1.14257,0.000495266,0.000495266,0.000495266
73,303.784,0.20161,0.05646,0.03208,0.19846,0.81456,0.83529,0.70989,0.78087,0.72314,0.82359,0.69023,0.76524,0.74227,0.68656,1.50149,0.06983,0.59975,1.17905,0.000478762,0.000478762,0.000478762
74,307.945,0.19581,0.04936,0.031,0.19569,0.81451,0.89371,0.7381,0.79865,0.74137,0.86042,0.71429,0.80809,0.77439,0.69628,1.62824,0.08016,0.56926,1.22795,0.000462259,0.000462259,0.000462259
75,312.104,0.19366,0.05496,0.03508,0.19406,0.80957,0.86768,0.72953,0.78871,0.72818,0.86358,0.6998,0.77206,0.76649,0.71287,1.51518,0.06679,0.54805,1.15449,0.000445756,0.000445756,0.000445756
76,316.263,0.19341,0.046,0.03156,0.19021,0.81277,0.84414,0.73667,0.80187,0.75092,0.87751,0.69048,0.78343,0.7799,0.66694,1.54008,0.07018,0.4998,1.17311,0.000429253,0.000429253,0.000429253
77,320.409,0.19198,0.04956,0.034,0.18968,0.81108,0.98498,0.64286,0.78444,0.73096,0.98498,0.64286,0.77616,0.74924,0.663,1.49341,0.12055,0.67187,1.14987,0.000412749,0.000412749,0.000412749
78,324.548,0.18886,0.04492,0.03017,0.18745,0.81116,0.7908,0.7368,0.7959,0.71809,0.9475,0.6484,0.76238,0.75434,0.74075,1.50089,0.06551,0.56159,1.21128,0.000396246,0.000396246,0.000396246
79,328.694,0.18854,0.04548,0.03271,0.18517,0.81168,0.74346,0.73485,0.76218,0.72527,0.74346,0.73485,0.78353,0.75942,0.71846,1.55851,0.04816,0.50731,1.20573,0.000379743,0.000379743,0.000379743
80,332.83,0.19342,0.05411,0.03257,0.18708,0.80806,0.83454,0.88095,0.87771,0.75002,0.81162,0.72626,0.79683,0.78076,0.67399,1.23139,0.05361,0.49747,1.10556,0.000363239,0.000363239,0.000363239
81,336.944,0.18873,0.04307,0.02899,0.18127,0.8116,0.92886,0.83333,0.91631,0.73838,0.7278,0.74966,0.78354,0.74552,0.68358,1.19883,0.08203,0.62603,1.05062,0.000346736,0.000346736,0.000346736
82,341.084,0.18555,0.0463,0.0289,0.18622,0.80818,0.94982,0.95029,0.96809,0.77351,0.76694,0.76046,0.77801,0.77491,0.66727,1.15072,0.03507,0.45405,1.07532,0.000330233,0.000330233,0.000330233
83,345.204,0.18477,0.04762,0.02896,0.18112,0.81309,0.92843,0.86585,0.9428,0.76536,0.97338,0.68557,0.79278,0.7702,0.67043,1.30667,0.03259,0.55914,1.08135,0.000313729,0.000313729,0.000313729
84,349.327,0.1822,0.04769,0.02877,0.18071,0.8115,0.83276,0.80526,0.84191,0.74236,0.98358,0.64286,0.77385,0.76583,0.65008,1.4071,0.05611,0.49314,1.09846,0.000297226,0.000297226,0.000297226
85,353.455,0.17524,0.04151,0.02891,0.18012,0.81127,0.82985,0.80654,0.84475,0.73464,0.75424,0.73564,0.76806,0.75813,0.65859,1.48969,0.04719,0.42681,1.1246,0.000280723,0.000280723,0.000280723
86,357.59,0.1684,0.0386,0.02649,0.17037,0.80978,0.81566,0.76052,0.78458,0.71018,0.77355,0.71007,0.75313,0.73932,0.68772,1.63323,0.04475,0.49847,1.1645,0.00026422,0.00026422,0.00026422
87,361.744,0.17232,0.04196,0.03067,0.18132,0.8065,0.84115,0.78571,0.85716,0.72792,0.9737,0.64215,0.76038,0.75074,0.74601,1.38992,0.05375,0.53431,1.18381,0.000247716,0.000247716,0.000247716
88,365.868,0.17226,0.0384,0.02492,0.17049,0.80896,0.92957,0.7381,0.83776,0.73885,0.84715,0.69048,0.76289,0.75869,0.68323,1.33035,0.06449,0.45623,1.13362,0.000231213,0.000231213,0.000231213
89,369.963,0.17115,0.04005,0.02596,0.17046,0.81023,0.87484,0.76062,0.83163,0.73451,0.81308,0.71321,0.76587,0.75343,0.69599,1.40657,0.05727,0.51753,1.15372,0.00021471,0.00021471,0.00021471
90,374.08,0.1679,0.03576,0.02755,0.16978,0.81251,0.95818,0.71429,0.86447,0.74655,0.97192,0.66667,0.81263,0.7787,0.67052,1.31348,0.07339,0.55792,1.11931,0.000198206,0.000198206,0.000198206
91,378.849,0.15879,0.02131,0.01142,0.15506,0.76525,0.86528,0.78319,0.83244,0.74996,0.88039,0.71429,0.81434,0.76703,0.68294,1.37825,0.05439,0.59111,1.14255,0.000181703,0.000181703,0.000181703
92,382.996,0.15477,0.01679,0.00583,0.15003,0.76552,0.87065,0.7381,0.83664,0.73525,0.96533,0.66893,0.79412,0.75897,0.65126,1.32595,0.04941,0.6756,1.09836,0.0001652,0.0001652,0.0001652
