epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7032,1.80121,4.84752,0.68231,2.15685,1.82396,0.84136,0.84536,0.85424,0.42024,0.82252,0.74971,0.72486,0.23314,1.85879,4.62997,0.59757,1.29556,1.94997,0.000550705,0.000550705,0.000550705
2,28.3386,0.88332,2.81569,0.55676,0.86021,1.07228,0.85275,0.63235,0.75129,0.51641,0.9265,0.71429,0.83819,0.32297,1.33271,3.91091,0.38045,1.2063,1.50683,0.00108447,0.00108447,0.00108447
3,40.8797,0.75495,1.71735,0.4876,0.67396,0.99385,0.90293,0.83601,0.93,0.57331,0.92464,0.85968,0.95026,0.35854,1.39397,1.93975,0.43455,0.96097,1.64572,0.00159622,0.00159622,0.00159622
4,53.3271,0.71475,0.72676,0.44199,0.5944,0.96808,0.92757,0.83355,0.95575,0.62955,0.91879,0.86819,0.96716,0.79689,1.51105,1.00627,0.26014,0.83074,1.84532,0.00156798,0.00156798,0.00156798
5,65.8323,0.62109,0.51625,0.37077,0.51882,0.93625,0.88924,0.90476,0.94786,0.65124,0.88924,0.90476,0.94786,0.78052,1.16147,0.86222,0.29113,0.77319,1.47701,0.00153497,0.00153497,0.00153497
6,78.2956,0.57504,0.40358,0.31454,0.48691,0.91546,0.86178,0.86754,0.94296,0.67568,0.86178,0.86754,0.94029,0.84227,1.21561,0.75459,0.24578,0.82719,1.49413,0.00150197,0.00150197,0.00150197
7,90.7837,0.52883,0.37977,0.28124,0.45201,0.90713,0.7808,0.90476,0.90472,0.5812,0.7808,0.90476,0.8897,0.7127,1.42327,1.12381,0.17984,0.91811,1.79837,0.00146896,0.00146896,0.00146896
8,103.288,0.5032,0.33344,0.24106,0.43238,0.89631,0.962,0.89841,0.95374,0.68709,0.97109,0.94698,0.97085,0.88726,1.09324,0.53601,0.15108,0.59462,1.36775,0.00143595,0.00143595,0.00143595
9,115.838,0.49195,0.29909,0.20249,0.41192,0.89058,0.92757,0.83579,0.96267,0.66894,0.94585,0.86112,0.97345,0.91775,1.28357,0.51417,0.17843,0.70343,1.53334,0.00140295,0.00140295,0.00140295
10,128.367,0.46118,0.27557,0.17818,0.39062,0.8783,0.95349,0.8837,0.92903,0.69239,0.96561,0.89328,0.94024,0.8617,1.18088,0.71693,0.14146,0.74012,1.49892,0.00136994,0.00136994,0.00136994
11,140.864,0.4373,0.23907,0.15237,0.37387,0.87246,0.91017,0.885,0.97137,0.67493,0.93152,0.90807,0.98323,0.87053,1.13134,0.54375,0.1247,0.67019,1.52163,0.00133693,0.00133693,0.00133693
12,153.432,0.43173,0.23049,0.1329,0.36933,0.86835,0.99067,0.83333,0.9073,0.62221,0.99224,0.85014,0.94537,0.86438,1.29513,0.53393,0.40142,0.68324,1.56762,0.00130393,0.00130393,0.00130393
13,165.931,0.40028,0.19665,0.11369,0.34459,0.86484,0.99011,0.85714,0.93528,0.66802,0.99011,0.85714,0.94081,0.87041,1.20529,0.5161,0.28355,0.68907,1.52908,0.00127092,0.00127092,0.00127092
14,178.502,0.39238,0.19617,0.10393,0.33525,0.86262,0.96985,0.88095,0.95152,0.67814,0.96985,0.88095,0.9674,0.87647,1.13142,0.55446,0.17414,0.64461,1.42725,0.00123791,0.00123791,0.00123791
15,191.048,0.3705,0.18262,0.09651,0.32967,0.8605,0.98493,0.7381,0.79151,0.5864,0.96879,0.7598,0.81627,0.76981,1.15334,0.64595,0.12694,1.0783,1.52944,0.00120491,0.00120491,0.00120491
16,203.617,0.37447,0.16441,0.09023,0.32349,0.85605,0.96904,0.92857,0.96151,0.69456,0.99423,0.95238,0.97735,0.84622,1.0444,0.60491,0.22369,0.56737,1.44618,0.0011719,0.0011719,0.0011719
17,216.148,0.37135,0.14489,0.08453,0.31484,0.85411,0.9795,0.8995,0.95507,0.73492,0.98744,0.92857,0.97518,0.91683,1.11021,0.43797,0.33017,0.62881,1.41903,0.00113889,0.00113889,0.00113889
18,228.702,0.35896,0.16151,0.08172,0.3099,0.85299,0.91471,0.82121,0.88202,0.63361,0.93578,0.84477,0.89758,0.82528,1.19149,0.70103,0.14318,0.92231,1.50046,0.00110589,0.00110589,0.00110589
19,241.354,0.34742,0.16641,0.07489,0.30467,0.85199,0.97498,0.82339,0.89448,0.67585,0.97498,0.82339,0.89448,0.84009,1.07246,0.67155,0.16414,0.82929,1.40225,0.00107288,0.00107288,0.00107288
20,254.45,0.33679,0.15431,0.07034,0.29884,0.84537,0.99975,0.78122,0.88705,0.69162,0.97449,0.82145,0.90382,0.85152,1.08975,0.46739,0.32723,0.7294,1.45707,0.00103987,0.00103987,0.00103987
21,267.137,0.33916,0.13645,0.06798,0.29724,0.84522,0.98582,0.66481,0.77349,0.58928,0.98582,0.66481,0.8106,0.72801,1.22147,0.99328,0.2343,1.15859,1.5697,0.00100687,0.00100687,0.00100687
22,279.75,0.32537,0.13564,0.06428,0.28574,0.84539,0.91844,0.87232,0.9259,0.71032,0.94064,0.89593,0.94414,0.89045,1.10253,0.5248,0.28903,0.70749,1.51602,0.000973861,0.000973861,0.000973861
23,292.377,0.31373,0.13078,0.06009,0.27747,0.841,0.8955,0.80085,0.89003,0.67437,0.93651,0.84977,0.91201,0.84268,1.09869,0.6441,0.21693,0.74648,1.49496,0.000940855,0.000940855,0.000940855
24,305.064,0.3153,0.12888,0.05911,0.28082,0.84276,0.99052,0.87569,0.91354,0.68548,0.99052,0.87569,0.91354,0.86353,0.97756,0.41451,0.07619,0.74042,1.41227,0.000907848,0.000907848,0.000907848
25,317.842,0.30059,0.11262,0.05918,0.27385,0.83944,0.96745,0.90476,0.91903,0.69838,0.96745,0.90476,0.92308,0.8772,1.04968,0.50955,0.31304,0.68299,1.42479,0.000874842,0.000874842,0.000874842
26,330.466,0.29592,0.11488,0.05578,0.26307,0.83886,0.93937,0.85264,0.91193,0.6627,0.93937,0.85264,0.91193,0.81989,1.12406,0.64666,0.15457,0.76914,1.51969,0.000841835,0.000841835,0.000841835
27,343.067,0.3015,0.11436,0.05779,0.27073,0.83938,0.94527,0.92242,0.96125,0.72137,0.96753,0.94623,0.97903,0.87179,1.05037,0.58176,0.27395,0.58133,1.42558,0.000808828,0.000808828,0.000808828
28,355.689,0.29418,0.11334,0.05392,0.2643,0.84082,0.96742,0.7405,0.91967,0.68271,0.99202,0.76431,0.93565,0.86794,1.11428,0.53026,0.14668,0.74644,1.47096,0.000775822,0.000775822,0.000775822
29,368.373,0.28904,0.10606,0.05132,0.26437,0.83791,0.95108,0.88022,0.94503,0.72287,0.95223,0.87511,0.96366,0.88814,1.07701,0.51598,0.15901,0.67808,1.53181,0.000742815,0.000742815,0.000742815
30,381.065,0.27739,0.09263,0.04837,0.25678,0.83128,0.95451,0.78221,0.85488,0.61077,0.97724,0.80552,0.87064,0.81339,1.18548,0.53067,0.27625,0.95169,1.52687,0.000709809,0.000709809,0.000709809
31,393.766,0.26236,0.08907,0.04886,0.24763,0.83139,0.96989,0.7681,0.86125,0.6432,0.99373,0.7918,0.87875,0.81385,1.10061,0.45989,0.16106,0.9055,1.49278,0.000676802,0.000676802,0.000676802
32,406.361,0.2715,0.09688,0.04755,0.24949,0.82916,0.97847,0.7374,0.86469,0.65104,0.96427,0.75755,0.88307,0.83326,1.05539,0.44901,0.2021,0.85554,1.45887,0.000643795,0.000643795,0.000643795
33,419.126,0.25632,0.07806,0.04833,0.23408,0.83094,0.99373,0.7381,0.82151,0.61265,0.99373,0.7381,0.82151,0.7752,1.00732,0.4608,0.26051,0.86813,1.4046,0.000610789,0.000610789,0.000610789
34,431.824,0.26081,0.07739,0.04482,0.23725,0.8344,0.95898,0.73501,0.81928,0.65234,0.98438,0.75869,0.84066,0.80021,0.98713,0.48335,0.11593,0.76756,1.38508,0.000577782,0.000577782,0.000577782
35,444.424,0.25021,0.08125,0.04154,0.23752,0.82798,0.97141,0.89858,0.95767,0.75287,0.9957,0.92235,0.97542,0.92297,0.9716,0.3761,0.17025,0.59857,1.36732,0.000544776,0.000544776,0.000544776
36,457.066,0.25411,0.07136,0.04343,0.23683,0.83127,0.9938,0.72908,0.87116,0.68135,0.99376,0.76621,0.88383,0.85556,1.02346,0.38019,0.24054,0.78938,1.40857,0.000511769,0.000511769,0.000511769
37,469.688,0.2441,0.06896,0.04118,0.22526,0.8301,0.99677,0.75337,0.84834,0.6712,0.99677,0.75337,0.84834,0.79783,0.97329,0.53551,0.16149,0.81401,1.44421,0.000478762,0.000478762,0.000478762
38,482.266,0.23416,0.07708,0.04299,0.22212,0.82503,1,0.78452,0.84908,0.64507,0.95537,0.78055,0.84817,0.7859,1.03187,0.57808,0.20776,0.83179,1.45007,0.000445756,0.000445756,0.000445756
39,494.88,0.23224,0.06911,0.04248,0.21757,0.82655,1,0.91234,0.96084,0.73937,1,0.91234,0.96084,0.89509,1.00042,0.56079,0.16728,0.61065,1.44141,0.000412749,0.000412749,0.000412749
40,507.612,0.22866,0.07252,0.04345,0.22012,0.82419,0.97479,0.7338,0.78724,0.61416,1,0.75746,0.80649,0.76125,1.01945,0.6023,0.20283,0.94824,1.44312,0.000379743,0.000379743,0.000379743
41,521.124,0.17579,0.04229,0.0169,0.1645,0.78063,0.95442,0.73544,0.80343,0.66155,0.99186,0.7381,0.81439,0.76575,1.04854,0.9067,0.13619,1.06168,1.46811,0.000346736,0.000346736,0.000346736
42,533.675,0.17266,0.03026,0.01276,0.15677,0.78332,0.99637,0.75893,0.83593,0.67333,0.99637,0.75893,0.83593,0.79943,1.03596,0.68897,0.2276,1.06237,1.52068,0.000313729,0.000313729,0.000313729
43,546.315,0.16449,0.02907,0.01238,0.1526,0.78207,0.96664,0.75966,0.85607,0.68929,0.96664,0.75966,0.85607,0.82514,1.07794,0.6786,0.13395,0.95875,1.48657,0.000280723,0.000280723,0.000280723
44,558.974,0.15877,0.03014,0.00939,0.14903,0.78387,0.97745,0.7508,0.90386,0.74745,0.95487,0.78827,0.91836,0.87619,0.96242,0.49864,0.13933,0.78628,1.42419,0.000247716,0.000247716,0.000247716
45,571.828,0.15089,0.02776,0.01169,0.14466,0.77872,0.99524,0.7381,0.89869,0.7375,0.96801,0.75998,0.90822,0.86343,1.01376,0.55537,0.13153,0.81766,1.48913,0.00021471,0.00021471,0.00021471
46,584.308,0.14677,0.02223,0.00921,0.14062,0.78311,0.97719,0.73405,0.86118,0.68854,0.97535,0.74446,0.87568,0.84344,1.01548,0.61198,0.2491,0.99514,1.4706,0.000181703,0.000181703,0.000181703
47,596.773,0.14188,0.02167,0.01079,0.13429,0.77688,0.95139,0.77651,0.91016,0.74997,0.97396,0.80032,0.92361,0.87858,0.96443,0.53196,0.22677,0.8579,1.40383,0.000148696,0.000148696,0.000148696
48,609.254,0.13687,0.01861,0.01015,0.13164,0.77766,0.97531,0.73771,0.86919,0.71439,1,0.76131,0.88338,0.84486,0.96377,0.59687,0.24209,0.87267,1.3895,0.00011569,0.00011569,0.00011569
49,621.742,0.13245,0.02012,0.00882,0.12859,0.78183,0.99533,0.75478,0.86751,0.71445,0.96998,0.76506,0.88074,0.84237,0.99407,0.62048,0.23575,0.96108,1.42968,8.26832e-05,8.26832e-05,8.26832e-05
50,634.254,0.12859,0.01741,0.00892,0.12506,0.77695,0.98642,0.76827,0.85789,0.69288,0.98642,0.76827,0.85789,0.82483,1.01833,0.68786,0.20342,0.97477,1.49273,4.96766e-05,4.96766e-05,4.96766e-05
