frame_number,window_size,mean_distance,median_player1_x,median_player1_y,median_player2_x,median_player2_y,video_name,state
49,50,3.7156312302948833,4.9995198249816895,6.001155853271484,2.423724174499512,8.282776832580566,video-1,start
56,50,3.5728834039432447,4.924370050430298,5.978456497192383,2.423724174499512,8.278831958770752,video-1,active
99,50,2.8921434470710143,3.960081100463867,5.933845520019531,1.8120389580726624,8.26928997039795,video-1,active
149,50,2.245744949481198,3.0936038494110107,6.652155637741089,1.272978127002716,8.224815845489502,video-1,active
199,50,1.0906967830237766,1.60445898771286,8.990865707397461,2.2562214136123657,8.30399465560913,video-1,active
249,50,1.0198408527029914,2.4560136795043945,8.192788124084473,3.196961283683777,7.678550720214844,video-1,active
299,50,0.9878220239176488,2.51297378540039,8.036049365997314,3.018823266029358,7.377085447311401,video-1,active
349,50,1.3814001879803597,2.000741481781006,8.34135913848877,3.024583339691162,7.304118871688843,video-1,active
399,50,1.7935623189131744,2.2572020292282104,8.931232929229736,3.0207234621047974,7.149988651275635,video-1,active
449,50,0.7731345803594291,2.202756881713867,8.22170352935791,2.829463005065918,7.937179565429687,video-1,active
499,50,1.8281873154223127,1.4076500535011292,8.212104320526123,2.9844679832458496,7.412708282470703,video-1,active
549,50,1.786473170822467,2.034677267074585,8.056017875671387,3.76145613193512,7.875816583633423,video-1,active
599,50,1.2870680265913512,2.88227915763855,7.333130121231079,3.6395726203918457,7.998701572418213,video-1,active
649,50,1.0211411213000456,4.09145975112915,7.383404016494751,3.2531145811080933,7.625768184661865,video-1,active
699,50,1.3292938664741296,3.816271305084229,7.070483684539795,3.5424662828445435,7.466797828674316,video-1,active
749,50,1.851403061169488,3.231438517570496,6.947866439819336,4.508647680282593,8.421463966369629,video-1,active
799,50,1.0138383285017574,2.74073588848114,8.040963649749756,3.5691534280776978,7.941197872161865,video-1,active
849,50,0.9113326024946892,3.021140217781067,8.307259559631348,2.686697483062744,7.577754497528076,video-1,active
899,50,1.4550381060278728,3.044485926628113,7.519389629364014,1.5964043140411377,8.086172580718994,video-1,active
949,50,1.2806633732591275,2.7781827449798584,7.327649354934692,1.7887161374092102,8.227070331573486,video-1,active
999,50,0.7541863265455093,2.099211812019348,7.729615926742554,2.769132375717163,7.749337196350098,video-1,active
1049,50,0.5495605945413454,2.7301955223083496,7.530120372772217,2.295939445495605,7.377312898635864,video-1,active
1099,50,0.7983606697728679,2.6544926166534424,6.7853615283966064,2.2409945726394653,7.274544239044189,video-1,active
1149,50,1.1300174256539703,2.596280813217163,7.661832571029663,1.6871015429496763,7.065234184265137,video-1,active
1199,50,1.1893216045515915,2.631199836730957,8.147454738616943,2.032421827316284,7.164977312088013,video-1,active
1245,50,1.5754988728014003,2.7209270000457764,8.06296157836914,2.628378868103028,7.083425045013428,video-1,end
1249,50,1.5375383708697477,2.7209270000457764,8.06296157836914,2.69132661819458,7.091962814331055,video-1,end
1299,50,1.1050974506325126,2.6245148181915283,8.095845222473145,3.436223030090332,7.472116470336914,video-1,end
1349,50,1.4897697139316362,2.6742793321609497,8.116785049438477,3.9216758012771606,7.508923530578613,video-1,end
1399,50,2.1490069328803494,2.818812608718872,8.267036437988281,4.761711835861206,7.290390491485596,video-1,end
1449,50,2.9826930880497504,2.3463869094848637,8.0293288230896,5.115830421447754,6.927702188491821,video-1,end
1499,50,3.526038770617165,2.355586528778076,8.051780700683594,5.291019916534424,6.141158819198608,video-1,end
1499,50,3.526038770617165,2.355586528778076,8.051780700683594,5.291019916534424,6.141158819198608,video-1,start
1545,50,3.3727522833769745,2.468124270439148,8.223726749420166,5.033688068389893,6.118389844894409,video-1,active
1549,50,3.369854008364117,2.45259952545166,8.242840766906738,5.013805866241455,6.118330717086792,video-1,active
1599,50,3.305012268529493,1.696593463420868,8.350008010864258,4.140466928482056,5.956587314605713,video-1,active
1649,50,1.9875628192275625,1.822216808795929,8.251255989074707,2.9712051153182983,6.660403728485107,video-1,active
1699,50,1.0964748766801278,2.2200074195861816,8.269111633300781,2.699761748313904,7.12873387336731,video-1,active
1749,50,1.0614679448133482,2.7926758527755737,7.595448970794678,2.0914703607559204,8.553257465362549,video-1,active
1799,50,0.7151646104300611,2.6863980293273926,8.04457950592041,2.5216965675354004,8.277685642242432,video-1,active
1849,50,1.6135044109976735,1.627525508403778,8.520835399627686,2.9168357849121094,7.543140888214111,video-1,active
1899,50,1.4693055469066665,1.9966551065444944,8.482430458068848,2.893525004386902,7.323568820953369,video-1,active
1949,50,1.0739104200799536,2.820293426513672,8.043160438537598,2.024403810501098,8.1430082321167,video-1,active
1999,50,1.5813470731260688,2.9873080253601074,7.391370296478271,1.586361825466156,8.180577754974365,video-1,active
2049,50,1.1433057877152024,2.1468961238861084,7.698380470275879,2.438303589820862,8.227264404296875,video-1,active
2099,50,1.674599901401999,1.5079691410064695,8.394904613494873,2.98827600479126,7.546017646789551,video-1,active
2149,50,1.7630452222571318,1.773787796497345,8.458889484405518,3.0317190885543823,7.318199872970581,video-1,active
2199,50,1.6482649583602296,2.845302939414978,7.594621181488037,4.506767511367798,7.678305387496948,video-1,active
2249,50,1.557831613428806,2.3943592309951782,8.213738918304443,3.687356948852539,7.41269063949585,video-1,active
2299,50,1.7501446506877627,1.675111711025238,8.437865734100342,2.8950796127319336,7.124799966812134,video-1,active
2349,50,1.0229638272453456,2.6954082250595093,8.048492908477783,2.048464179039001,7.918745040893555,video-1,active
2399,50,1.9695736083697,2.465881109237671,7.018856048583984,1.49545818567276,8.851298332214355,video-1,active
2449,50,1.4796593849167985,1.616111397743225,7.231503009796143,2.4439891576766968,8.181727409362793,video-1,active
2499,50,1.8676420788437005,1.944555401802063,6.923606157302856,3.611300349235535,6.207456588745117,video-1,active
2549,50,3.4986849834316125,2.41081178188324,7.139804363250732,5.059400320053101,5.041943550109863,video-1,active
2568,50,3.932137530746461,2.667614817619324,7.244497060775757,5.62199330329895,4.412816524505615,video-1,end
2599,50,4.3410718712268,3.268579602241516,7.5559401512146,5.79661750793457,4.109896898269653,video-1,end
2649,50,5.171186954932181,4.372497797012329,7.699416875839233,5.388158798217773,3.085124254226685,video-1,end
2699,50,4.828736608361387,5.355393409729004,7.813196897506714,3.8545713424682617,3.330350399017334,video-1,end
2749,50,5.288615616351104,5.746073007583618,8.079624652862549,2.4493497610092163,3.8733954429626474,video-1,end
2799,50,4.476760913409904,4.990274667739868,8.165083885192871,1.7067425847053528,5.085844278335571,video-1,end
2849,50,3.3826261341435115,4.101426362991333,8.050121307373047,1.3929811120033264,6.25816822052002,video-1,end
2885,50,3.000904118942579,3.8683983087539673,8.117207050323486,1.3289752006530762,6.636723518371582,video-1,start
2899,50,2.96397772073604,3.856833577156067,8.12747859954834,1.312902808189392,6.636754989624023,video-1,start
2949,50,3.0685541585445413,4.004180908203125,8.286045551300049,1.473238825798035,6.637876272201538,video-1,start
2961,50,3.0811278209323194,4.090057611465454,8.35060453414917,1.5179117918014526,6.637876272201538,video-1,active
2999,50,2.976673164560429,4.418025493621826,8.394157886505127,2.008015275001526,6.529785633087158,video-1,active
3049,50,1.765775533815122,4.038645267486572,8.348634719848633,2.878304004669189,7.051275253295898,video-1,active
3099,50,1.3880964445850266,2.893158197402954,8.310552597045898,3.0667898654937744,7.319179534912109,video-1,active
3149,50,1.4111084607579287,2.7435622215271,7.710524082183838,4.084375858306885,8.215484619140625,video-1,active
3199,50,0.8845977921744747,3.390154004096985,7.618445158004761,3.760803580284119,8.285709381103516,video-1,active
3249,50,0.7865713907918882,3.91094982624054,7.829471111297607,3.1877682209014893,7.623578310012817,video-1,active
3299,50,1.9377982930986244,3.5144739151000977,7.074937343597412,4.568605899810791,5.414435386657715,video-1,active
3349,50,1.7705810508003037,4.497169017791748,7.675271034240723,3.698564291000366,6.304607152938843,video-1,active
3399,50,1.6944226353449532,5.006025552749634,8.02057933807373,3.6116597652435294,7.00514030456543,video-1,active
3409,50,1.5997064391925235,5.006025552749634,8.019404411315918,3.843702435493469,7.00514030456543,video-1,end
3449,50,1.800417357315104,4.6332948207855225,8.022847175598145,4.4299023151397705,6.583599328994751,video-1,end
3499,50,2.4965398998380586,3.754276752471924,8.155982971191406,5.384126424789429,6.43703818321228,video-1,end
3549,50,3.5469246260128773,2.574766039848328,8.128524780273438,5.548250913619995,6.117966175079346,video-1,end
3597,50,3.917674937085151,2.245783567428589,8.132031440734863,5.5135815143585205,5.952448844909668,video-1,start
3599,50,3.912529430821852,2.250302791595459,8.132081031799316,5.511097431182861,5.952473163604736,video-1,start
3649,50,3.730930934100491,2.265231132507324,8.201262474060059,5.232127666473389,5.9531731605529785,video-1,start
3667,50,3.743778615950942,2.141868352890014,8.305643558502197,5.029670238494873,5.9531731605529785,video-1,active
3699,50,3.671452681890366,1.7610557079315186,8.345881938934326,4.559597492218018,5.760974168777466,video-1,active
3749,50,2.7154978600100264,1.5687785148620603,8.46352243423462,3.269020915031433,6.335865020751953,video-1,active
3799,50,1.532013698246006,2.519291043281555,8.27620792388916,2.731114625930786,7.215047359466553,video-1,active
3849,50,0.7428496530723571,3.3411837816238403,7.397704362869263,2.725633144378662,7.826897859573364,video-1,active
3899,50,1.029850988686604,3.279671311378479,6.690725803375244,2.737170100212097,7.5415074825286865,video-1,active
3949,50,1.241277074476184,3.1080046892166138,7.1118669509887695,2.2237141132354736,7.99251651763916,video-1,active
3999,50,1.017588661669698,2.6466575860977173,7.0200018882751465,2.6556930541992188,8.040602207183838,video-1,active
4049,50,0.7681871154751636,2.7161519527435303,7.410886287689209,2.8465256690979004,8.215677261352539,video-1,active
4099,50,0.6576530161891239,3.0607292652130127,7.640265226364136,2.768033266067505,8.25326156616211,video-1,active
4149,50,3.278520031437301,2.822373867034912,4.296069383621216,2.837475419044494,8.23487901687622,video-1,active
4194,50,4.2174188412894935,2.267980098724365,4.117360591888428,2.7108516693115234,8.174877166748047,video-1,end
4199,50,3.9612948752148713,2.244377017021179,4.160321474075317,2.651953935623169,8.131044864654541,video-1,end
4249,50,1.123761577806252,1.9412953853607176,7.358312129974365,2.703560709953308,8.126060962677002,video-1,end
4299,50,2.255877641601911,1.5873460173606873,6.737655878067017,3.279390335083008,8.002246856689453,video-1,end
4349,50,3.83355201824186,1.0537156462669373,5.659732103347778,4.165317535400391,7.898338079452515,video-1,end
4399,50,5.653244810926401,0.5153950452804565,4.243244647979736,4.8939127922058105,8.097496032714844,video-1,end
4449,50,7.572852033429398,0.0711850300431251,3.0049097537994385,5.839566707611084,8.173388004302979,video-1,end
4499,50,7.236331433950763,0.0479049514979124,3.4593268632888794,5.594433069229126,8.352133750915527,video-1,end
4549,50,5.554797026239902,0.5862097144126892,4.633711576461792,4.66562032699585,8.26298999786377,video-1,end
4599,50,3.8615382628438586,0.958647608757019,5.561011552810669,4.029155492782593,8.0922212600708,video-1,end
4649,50,3.12796985291232,1.398403286933899,6.646437644958496,3.934009432792664,8.325661659240723,video-1,end
4693,50,3.143406613143402,1.3682537078857422,6.726926326751709,4.086099624633789,8.330453872680664,video-1,start
4699,50,3.166092949229597,1.364418625831604,6.726963043212891,4.08765172958374,8.3305082321167,video-1,start
4749,50,3.124702190521325,1.4290691614151,6.743666172027588,4.077797889709473,8.339852333068848,video-1,start
4758,50,3.0811231828475765,1.465487539768219,6.7361931800842285,4.077797889709473,8.339907169342041,video-1,active
4799,50,2.8713058051976783,1.976071059703827,6.734402656555176,4.377215147018433,8.403567790985107,video-1,active
4849,50,2.217068426791546,3.102838516235352,7.21418023109436,4.833518028259277,8.531466007232666,video-1,active
4899,50,1.7024727300649063,3.131175994873047,7.535094499588013,4.673584699630737,8.398738384246826,video-1,active
4949,50,1.360759000472514,2.209156632423401,8.265524864196777,3.406689167022705,7.918732643127441,video-1,active
4999,50,1.5823561506862407,1.4727472066879272,8.23706340789795,2.87720251083374,7.437739610671997,video-1,active
5049,50,1.6818042897752354,2.446746706962585,7.8455970287323,4.083695888519287,7.894459962844849,video-1,active
